"old","new"
"-9.81","unknown"
"0","unknown"
"1","unknown"
"1","unknown"
"3","unknown"
"4","unknown"
"5","unknown"
"6","unknown"
"7","unknown"
"9","unknown"
"11","unknown"
"13","unknown"
"14","unknown"
"16","unknown"
"19","unknown"
"23","unknown"
"27","unknown"
"35","unknown"
"38","unknown"
"41","unknown"
"42","unknown"
"43","unknown"
"44","unknown"
"48","unknown"
"49","unknown"
"51","unknown"
"54","unknown"
"57","unknown"
"83","unknown"
"85","unknown"
"86","unknown"
"87","unknown"
"90","unknown"
"91","unknown"
"96","unknown"
"100","unknown"
"105","unknown"
"107","unknown"
"116","unknown"
"123","unknown"
"125","unknown"
"131","unknown"
"133","unknown"
"138","unknown"
"145","unknown"
"146","unknown"
"158","unknown"
"169","unknown"
"186","unknown"
"196","unknown"
"199","unknown"
"239","unknown"
"271","unknown"
"320","unknown"
"323","unknown"
"366","unknown"
"406","unknown"
"444","unknown"
"454","unknown"
"521","unknown"
"530","unknown"
"610","unknown"
"777","unknown"
"1022","unknown"
"1228","unknown"
"1231","unknown"
"1234","unknown"
"1248","unknown"
"1354","unknown"
"1543","unknown"
"1568","unknown"
"1580","unknown"
"1944","unknown"
"1988","unknown"
"1991","unknown"
"2002","unknown"
"2005","unknown"
"2011","unknown"
"2014","unknown"
"2016","unknown"
"7060325325","unknown"
"-","unknown"
"--","unknown"
"---","unknown"
"----","unknown"
"---------","unknown"
"-    | Technion","technion"
"--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess
'0': !ruby/hash:ActiveSupport::HashWithIndifferentAccess {}
length: 1
prevObject: !ruby/hash:ActiveSupport::HashWithIndifferentAccess
  '0': !ruby/hash:ActiveSupport::HashWithIndifferentAccess {}
  l","unknown"
" / NTUU ""KPI"" /  """"","ntuu kpi"
"#12","unknown"
"#14","unknown"
"#161 public school tbilisi","161 public school tbilisi"
"#2","unknown"
"#41","unknown"
"#9","unknown"
"#97 Minsk,Belarus","97 minsk belarus"
"$$","unknown"
"&#x27;-confirm(1)-&#x27;","unknown"
"&quot;TamÃƒÆ’Ã‚Â¡si ÃƒÆ’Ã¯Â¿Â½ron&quot; High School, SzÃƒÆ’Ã‚Â©kelyudvarhely",""
"()","unknown"
"(FCI) faculty of computers and information","fci faculty of computers and information"
"(Handong Global University)","handong global university"
"(NSIT)Netaji subhash institute of technology","nsitnetaji subhash institute of technology"
"*","unknown"
"**","unknown"
".","unknown"
". .","unknown"
"..","unknown"
"...","unknown"
"....","unknown"
".none","unknown"
"/","unknown"
"/  / Hallym University","hallym university"
"/ TSU","tsu"
"/NTUU ""KPI""/ """"","ntuu kpi"
"::Quaid-i-Azam University,Islamabad","quaidiazam university islamabad"
"?","unknown"
"??","unknown"
"???","unknown"
"[None]","unknown"
"[object Object]","unknown"
"_","unknown"
"___","unknown"
"~","unknown"
"< Tafila Technical University >","tafila technical university"
"<h1>asdf</h1>a","unknown"
"<h1>Hello</h1>","unknown"
"<none>","unknown"
"<script>alert(1)</script>","unknown"
"><font size=70"" color=""red"">HTML injection","unknown"
