Name,Owner,Category,District,Province
"1. Chegutu ","Govt. ","District Hospital ","Chegutu District ","MASHONALAND WEST PROVINCE "
"2.Mhondoro  ","Govt. ","Rural hospital ","Chegutu District ","MASHONALAND WEST PROVINCE "
"3. Gora ","Govt. ","RHC ","Chegutu District ","MASHONALAND WEST PROVINCE "
"4. Mbuyanehanda ","Govt. ","RHC ","Chegutu District ","MASHONALAND WEST PROVINCE "
"5.Monera RHC ","Govt ","","Chegutu District ","MASHONALAND WEST PROVINCE "
"6. Msengezi ","Govt. ","RHC ","Chegutu District ","MASHONALAND WEST PROVINCE "
"7. Musinami ","Govt. ","RHC ","Chegutu District ","MASHONALAND WEST PROVINCE "
"8. Chegutu  ","Municipality ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"9. Chinengundu ","Municipality ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"10. Norton Selous ","RDC ","Rural Hospital ","Chegutu District ","MASHONALAND WEST PROVINCE "
"11. Chegutu ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"12. Chikara  ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"13. Chivero ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"14. Dombwe  ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"15. Katanga Utano ","RDC ","RHC ","Chegutu District ","MASHONALAND WEST PROVINCE "
"16. Mhondoro North ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"17. Mupawose  ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"18. Rwizi ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"19. Sandringham ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"20. Selous  ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"21. Watyoka  ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"22. Cargill ","Industry ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
