zagats.csv:2	fodors.csv:2
zagats.csv:3	fodors.csv:3
zagats.csv:6	fodors.csv:37
zagats.csv:16	fodors.csv:11
zagats.csv:18	fodors.csv:14
zagats.csv:21	fodors.csv:19
zagats.csv:22	fodors.csv:20
zagats.csv:28	fodors.csv:30
zagats.csv:29	fodors.csv:33
zagats.csv:30	fodors.csv:34
zagats.csv:42	fodors.csv:67
zagats.csv:46	fodors.csv:43
zagats.csv:51	fodors.csv:44
zagats.csv:53	fodors.csv:47
zagats.csv:57	fodors.csv:49
zagats.csv:66	fodors.csv:76
zagats.csv:68	fodors.csv:57
zagats.csv:69	fodors.csv:59
zagats.csv:72	fodors.csv:60
zagats.csv:76	fodors.csv:68
zagats.csv:82	fodors.csv:72
zagats.csv:88	fodors.csv:80
zagats.csv:90	fodors.csv:83
zagats.csv:92	fodors.csv:84
zagats.csv:94	fodors.csv:95
zagats.csv:96	fodors.csv:99
zagats.csv:99	fodors.csv:117
zagats.csv:100	fodors.csv:120
zagats.csv:101	fodors.csv:132
zagats.csv:102	fodors.csv:133
zagats.csv:103	fodors.csv:136
zagats.csv:107	fodors.csv:146
zagats.csv:109	fodors.csv:147
zagats.csv:113	fodors.csv:159
zagats.csv:114	fodors.csv:171
zagats.csv:116	fodors.csv:183
zagats.csv:117	fodors.csv:184
zagats.csv:120	fodors.csv:198
zagats.csv:122	fodors.csv:202
zagats.csv:128	fodors.csv:209
zagats.csv:130	fodors.csv:210
zagats.csv:132	fodors.csv:215
zagats.csv:134	fodors.csv:224
zagats.csv:135	fodors.csv:226
zagats.csv:137	fodors.csv:230
zagats.csv:138	fodors.csv:235
zagats.csv:139	fodors.csv:237
zagats.csv:142	fodors.csv:243
zagats.csv:143	fodors.csv:244
zagats.csv:146	fodors.csv:248
zagats.csv:149	fodors.csv:254
zagats.csv:154	fodors.csv:263
zagats.csv:157	fodors.csv:269
zagats.csv:158	fodors.csv:270
zagats.csv:159	fodors.csv:271
zagats.csv:160	fodors.csv:277
zagats.csv:161	fodors.csv:281
zagats.csv:164	fodors.csv:288
zagats.csv:166	fodors.csv:293
zagats.csv:167	fodors.csv:295
zagats.csv:168	fodors.csv:299
zagats.csv:169	fodors.csv:300
zagats.csv:170	fodors.csv:301
zagats.csv:177	fodors.csv:310
zagats.csv:182	fodors.csv:323
zagats.csv:184	fodors.csv:328
zagats.csv:193	fodors.csv:413
zagats.csv:194	fodors.csv:415
zagats.csv:198	fodors.csv:420
zagats.csv:203	fodors.csv:425
zagats.csv:206	fodors.csv:426
zagats.csv:208	fodors.csv:429
zagats.csv:210	fodors.csv:430
zagats.csv:211	fodors.csv:404
zagats.csv:212	fodors.csv:421
zagats.csv:214	fodors.csv:432
zagats.csv:217	fodors.csv:336
zagats.csv:219	fodors.csv:341
zagats.csv:224	fodors.csv:345
zagats.csv:226	fodors.csv:346
zagats.csv:228	fodors.csv:347
zagats.csv:235	fodors.csv:352
zagats.csv:237	fodors.csv:358
zagats.csv:241	fodors.csv:362
zagats.csv:245	fodors.csv:363
zagats.csv:246	fodors.csv:364
zagats.csv:249	fodors.csv:369
zagats.csv:254	fodors.csv:371
zagats.csv:257	fodors.csv:377
zagats.csv:261	fodors.csv:381
zagats.csv:265	fodors.csv:383
zagats.csv:267	fodors.csv:387
zagats.csv:268	fodors.csv:359
zagats.csv:269	fodors.csv:348
zagats.csv:276	fodors.csv:397
zagats.csv:279	fodors.csv:398
zagats.csv:282	fodors.csv:438
zagats.csv:283	fodors.csv:439
zagats.csv:285	fodors.csv:445
zagats.csv:286	fodors.csv:448
zagats.csv:290	fodors.csv:451
zagats.csv:292	fodors.csv:455
zagats.csv:299	fodors.csv:459
zagats.csv:300	fodors.csv:461
zagats.csv:302	fodors.csv:469
zagats.csv:304	fodors.csv:480
zagats.csv:306	fodors.csv:484
zagats.csv:309	fodors.csv:487
zagats.csv:312	fodors.csv:490
zagats.csv:314	fodors.csv:493
zagats.csv:317	fodors.csv:504
zagats.csv:318	fodors.csv:505
zagats.csv:319	fodors.csv:507
zagats.csv:321	fodors.csv:508
